"text","label"
"安心サポートの月額はいくらですか？","料金"
"請求書（紙）は有料ですか？","料金"
"支払い方法を口座振替に変更できますか？","料金"
"支払い方法をクレジットカードに変更できますか？","料金"
"引き落とし日（支払日）はいつですか？","料金"
"締め日と請求月の関係を教えてください","料金"
"契約初月の料金はどれくらいになりますか？","料金"
"解約した月の料金はどうなりますか？","料金"
"データを使い切った後の追加料金はありますか？","料金"
"速度制限になったら追加料金が発生しますか？","料金"
"海外で使った場合の料金はかかりますか？","料金"
"国際電話をかけた場合の料金を知りたいです","料金"
"ユニバーサルサービス料と電話リレーサービス料って何ですか？","料金"
"この機種は5Gに対応していますか？","端末・機種変更"
"このスマホの容量は何GBですか？","端末・機種変更"
"この端末はeSIMに対応していますか？","端末・機種変更"
"デュアルSIM（2枚挿し）できますか？","端末・機種変更"
"この機種はSIMフリーですか？","端末・機種変更"
"この端末はSIMロック解除が必要ですか？","端末・機種変更"
"中古端末でも問題なく使えますか？","端末・機種変更"
"このスマホは防水ですか？","端末・機種変更"
"おサイフケータイは使えますか？","端末・機種変更"
"この機種はワイヤレス充電に対応していますか？","端末・機種変更"
"画面が割れたので修理できますか？","端末・機種変更"
"バッテリー交換はできますか？","端末・機種変更"
"機種変更したらLINEの引き継ぎはどうやりますか？","端末・機種変更"
"iPhoneからAndroidに変えるとデータ移行は難しいですか？","端末・機種変更"
"この端末でテザリングは使えますか？","端末・機種変更"
"このスマホは海外でも使えますか？","端末・機種変更"
"この機種のカメラ性能はどのくらいですか？","端末・機種変更"
"microSDカードは使えますか？","端末・機種変更"
"端末の初期設定は手伝ってもらえますか？","端末・機種変更"
"この機種は指紋認証と顔認証どちらに対応していますか？","端末・機種変更"
